Category,abrupt_control_flow
Origin,0.3939393939393939
BytecodeChatGPT,0.3333333333333333
CFRChatGPT,0.3939393939393939
CFRJ2K,1.6666666666666667
FernflowerChatGPT,0.3939393939393939
FernflowerJ2K,1.696969696969697
JDGUIChatGPT,0.3333333333333333
JDGUIJ2K,1.3636363636363635
