Category,conditional_statements
Origin,0.16129032258064516
BytecodeChatGPT,0.1935483870967742
CFRChatGPT,0.1935483870967742
CFRJ2K,0.8064516129032258
FernflowerChatGPT,0.1935483870967742
FernflowerJ2K,0.8387096774193549
JDGUIChatGPT,0.12903225806451613
JDGUIJ2K,0.5483870967741935
