Category,local_variables
Origin,1.064516129032258
BytecodeChatGPT,1.3225806451612903
CFRChatGPT,1.3225806451612903
CFRJ2K,2.6774193548387095
FernflowerChatGPT,1.4838709677419355
FernflowerJ2K,3.161290322580645
JDGUIChatGPT,1.4193548387096775
JDGUIJ2K,2.193548387096774
