Category,program_size
Origin,83.51515151515152
BytecodeChatGPT,88.33333333333333
CFRChatGPT,89.45454545454545
CFRJ2K,220.3030303030303
FernflowerChatGPT,92.3030303030303
FernflowerJ2K,234.8181818181818
JDGUIChatGPT,88.03030303030303
JDGUIJ2K,178.3030303030303
