Category,Abrupt Control Flow,Conditional Complexity,Conditional Statements,Halstead Total Operators,Halstead Total Operands,Halstead Bugs,Halstead Difficulty,Halstead Effort,Halstead Length,Halstead Distinct Operators,Halstead Distinct Operands,Halstead Time,Halstead Vocabulary,Halstead Volume,Labeled Blocks,Local Variables,Program Size
Original,0.06060606060606061,0.7272727272727273,0.24242424242424243,3.242424242424242,2.393939393939394,0.0022304482547854244,1.101010101010101,23.329398098167815,5.636363636363637,2.121212121212121,2.212121212121212,1.2960776721204343,4.333333333333333,13.653141564489534,0.06060606060606061,1.0,83.51515151515152
CFRJ2K,0.06060606060606061,1.0537878787878787,0.5757575757575758,9.237373737373737,3.9722222222222223,0.00967957881257775,3.039944083694084,233.5162171023808,13.20959595959596,4.853535353535353,2.775252525252525,12.97312317235449,7.628787878787879,44.56611098115943,0.06060606060606061,1.808080808080808,153.05555555555554
CFRChatGPT,0.06060606060606061,0.7272727272727273,0.2727272727272727,3.5303030303030303,2.393939393939394,0.002559294114234592,1.2575757575757576,28.019585022575694,5.924242424242424,2.227272727272727,2.1818181818181817,1.5566436123653165,4.409090909090909,14.635270828648247,0.06060606060606061,1.2272727272727273,87.93939393939394
FernflowerJ2K,0.030303030303030304,1.128787878787879,0.6060606060606061,8.901515151515152,4.0,0.009253817542239485,2.881872294372294,214.7664459851952,12.901515151515152,4.6641414141414135,2.8257575757575757,11.931469221399732,7.48989898989899,43.35711044764994,0.0,2.1792929292929295,162.72727272727272
FernflowerChatGPT,0.030303030303030304,0.6363636363636364,0.2727272727272727,3.621212121212121,2.515151515151515,0.0024985036293321884,1.1651515151515153,28.270645870957406,6.136363636363637,2.1666666666666665,2.272727272727273,1.5705914372754113,4.4393939393939394,14.968946864277644,0.0,1.378787878787879,90.78787878787878
BytecodeChatGPT,0.030303030303030304,0.6363636363636364,0.2727272727272727,3.5757575757575757,2.393939393939394,0.0026008829594855957,1.2712121212121212,30.793604924404985,5.96969696969697,2.272727272727273,2.1515151515151514,1.7107558291336105,4.424242424242424,14.733751027637116,0.06060606060606061,1.3333333333333333,88.12121212121212
JDGUIJ2K,0.030303030303030304,1.176767676767677,0.4393939393939394,7.103535353535353,4.186868686868687,0.008075753679012074,2.280906467270104,217.01688637496096,11.29040404040404,3.1919191919191916,2.6717171717171717,12.056493687497833,5.863636363636363,37.66140206619405,0.06060606060606061,1.4898989898989898,128.9848484848485
JDGUIChatGPT,0.030303030303030304,0.5454545454545454,0.21212121212121213,3.5,2.3333333333333335,0.0024008294640702867,1.1666666666666667,26.29131845121062,5.833333333333333,2.0454545454545454,2.121212121212121,1.4606288028450343,4.166666666666667,14.16467104524262,0.06060606060606061,1.3181818181818181,86.51515151515152
