Category,CE,KL,PPL,NID,Hcond,CE_1gram,CE_2gram,CE_3gram,CE_4gram,CE_5gram,CE_6gram
CFRJ2K,14.039949959578326,9.544513808391011,220330.99667044103,2.01581227681418,9.495874271889669,14.039949959578326,23.719826003981993,28.462468689685604,32.14664147844725,34.239644379652105,35.12037720709698
FernflowerJ2K,14.647225406809287,10.127139961739719,46432.51528593101,2.1183991892129517,10.624704493224755,14.647225406809287,25.319461255795222,31.022684202085877,34.76021887798657,37.137445906807194,37.94347966213755
JDGUIJ2K,10.328995137047194,5.842903093408083,1698.6742263433757,1.0867847376532949,7.709554908161005,10.328995137047194,18.392107172043143,22.591507314905645,26.015203794052372,28.64025409867203,30.23467973900781
CFRChatGPT,6.650611625007431,2.276815327826454,100.46934909705337,0.8528878619954836,5.9711604996673895,6.650611625007431,12.690003980696067,16.27488148644447,19.97695354844832,22.724049819869055,24.48344307916068
FernflowerChatGPT,6.650611625007431,2.276815327826454,100.46934909705337,0.8528878619954836,5.9711604996673895,6.650611625007431,12.690003980696067,16.27488148644447,19.97695354844832,22.724049819869055,24.48344307916068
JDGUIChatGPT,6.650611625007431,2.276815327826454,100.46934909705337,0.8528878619954836,5.971160499667389,6.650611625007431,12.690003980696067,16.27488148644447,19.97695354844832,22.724049819869055,24.48344307916068
