Category,local_variables
Origin,1.0
BytecodeChatGPT,1.3333333333333333
CFRChatGPT,1.2424242424242424
CFRJ2K,2.515151515151515
FernflowerChatGPT,1.393939393939394
FernflowerJ2K,3.0303030303030303
JDGUIChatGPT,1.3333333333333333
JDGUIJ2K,2.090909090909091
